kappa_top3,kappa_top5,gini,entropy,modularity_proxy,rewiring,max_degree,n_active_edges,mean_pressure,service_rate,displacement_rate,tender_rejection_rate,n_unserved,mean_price,price_std,shipper_surplus,hhi_round,mean_util,revenue_gini,revenue_top3_share,n_active_carriers,n_loss_carriers,kappa_pref_top3,round,name,selector,seed,fitness_regime,llm_specs,llm_mix_mode,shuffle,dynamic_profile,econ_enabled,show_capacity,rating_mode
0.4375,0.625,0.596875,3.4657359027997265,0.59375,1.0,7.0,32.0,2.1847564806875557,0.64,0.6875,0.7310924369747899,18,0.5211985655120525,0.1190028667565056,0.3264329180722864,0.1171875,0.43613963308519477,0.5979100011698648,0.433126738338844,20.0,0.0,1.0,1,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.33701657458563533,0.4986187845303867,0.42769337016574566,4.210442993016367,0.417817679558011,1.15625,10.649999999999999,69.0,1.6140386180226198,0.84,0.5238095238095238,0.5714285714285714,8,0.6465721352876352,0.1900136339699847,0.4168794063583864,0.07369614512471655,0.6214708026266267,0.5150525814136002,0.4433041453879669,20.0,0.0,0.7564102564102564,2,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.3171274819075895,0.4688949712377064,0.38639357951382464,4.492510728490683,0.46889497123770646,0.36231884057971014,14.117499999999998,94.0,1.8146919270108466,0.78,0.5641025641025641,0.6176470588235294,11,0.7615926270719324,0.2943270367830025,0.2759577508838927,0.07166337935568705,0.6311802093692319,0.49964622594778985,0.44885091564628044,20.0,0.0,0.6665205959684487,3,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.30819978831814693,0.4614961225583651,0.37400612995366067,4.7314122293746514,0.46149612255836514,0.2872340425531915,18.411624999999997,121.0,1.2079163791525196,0.9,0.4666666666666667,0.5054945054945055,5,0.9083725392407194,0.38496277021718184,0.23246471468335247,0.08246913580246915,0.5541861965315509,0.5170297533262371,0.45510847231835694,20.0,0.0,0.6258667744870111,4,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.30082293665560406,0.45338683945718694,0.3580488741758272,4.849625698331944,0.45338683945718694,0.1487603305785124,22.49104375,139.0,1.806856672194615,0.8,0.375,0.5555555555555556,10,0.9095893146027253,0.42454036834956943,0.17232854831781982,0.07500000000000001,0.6483244393475729,0.518126833809073,0.46092175960802706,20.0,0.0,0.5837573093558374,5,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.28376089131425936,0.434410968206551,0.3369170622244816,4.937458091428411,0.434410968206551,0.11510791366906475,24.3664915625,155.0,1.6182678319368347,0.84,0.4523809523809524,0.5384615384615384,8,0.917232284387095,0.4395549700829707,0.18952488111484012,0.0748299319727891,0.6661761998068038,0.5095807916338322,0.4554012466869184,20.0,0.0,0.557395869404951,6,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.28427376257472176,0.4329759462620636,0.33784707168934913,5.050603271311644,0.43297594626206354,0.14193548387096774,29.148166984375,177.0,1.2747186845544465,0.86,0.4186046511627907,0.5,7,1.002937719320173,0.4625843151068595,0.127473561384651,0.08707409410492158,0.595890769324124,0.5157025295539978,0.4558933869961959,20.0,0.0,0.5522191262244853,7,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.28294572787444056,0.4359385330240986,0.33524227516444327,5.123671267458104,0.43593853302409846,0.0847457627118644,32.69075863515624,192.0,1.6722607430499068,0.84,0.5952380952380952,0.5841584158415841,8,1.0322264223400655,0.48434339197502,0.092929805234345,0.07482993197278912,0.653003788989706,0.5089638120465265,0.45080169598861913,20.0,0.0,0.5614184033282149,8,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.29204265473045893,0.44085852000253695,0.3461410080163104,5.1877568027927445,0.4408585200025369,0.078125,39.05622070339844,207.0,1.5566873387172735,0.84,0.5,0.5578947368421052,8,1.0956885692357194,0.4832621470213424,0.03962160184199573,0.09410430839002265,0.6029144487135446,0.508328816288346,0.43963020594226054,20.0,0.0,0.5777917146282866,9,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.29910677815832143,0.44953515267989796,0.346686120800661,5.23395163458803,0.44953515267989796,0.057971014492753624,43.103409668228515,219.0,1.5442682727443489,0.8,0.475,0.5652173913043478,10,1.0873812520077628,0.4604495375595906,0.030094998393789776,0.08249999999999999,0.5826940837873301,0.5063712142908653,0.4396593605781336,20.0,0.0,0.5780668814188108,10,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.29920834711428074,0.4433867153997449,0.33701710465773266,5.284268315964602,0.44338671539974495,0.0593607305936073,45.94823918481708,232.0,1.5937116817651473,0.8,0.475,0.5918367346938775,10,1.032439912699365,0.4816202562890102,0.07404806984050788,0.07625,0.5877443799581318,0.5035493217467409,0.43513087002163225,20.0,0.0,0.5829292570629255,11,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.301415841428418,0.4473292295697735,0.343762359935989,5.296454842834507,0.44732922956977356,0.03879310344827586,51.65082722557623,241.0,1.328059455866328,0.88,0.4090909090909091,0.47619047619047616,6,1.069773849500552,0.4692610172653216,0.07859901243951427,0.09090909090909088,0.5966689980225377,0.5029895165976641,0.43584490287339395,20.0,0.0,0.5934886906903764,12,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.3012739991637208,0.44759679352058473,0.33602783188031016,5.3399139293096844,0.44759679352058473,0.04564315352697095,53.068285864297415,252.0,1.663679850335308,0.8,0.45,0.5918367346938775,10,1.0322957562934874,0.47263329756239153,0.07416339496521003,0.07750000000000001,0.5858437407200915,0.5075473329793668,0.4361629428532883,20.0,0.0,0.5956937397853275,13,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.2978545679630534,0.45114306973669355,0.3335536719496933,5.370060433168117,0.4511430697366936,0.03968253968253968,56.41487157108254,262.0,1.119754232155595,0.96,0.5416666666666666,0.42168674698795183,2,1.0386520807208042,0.47510083313128615,0.14289400250802792,0.0763888888888889,0.6064598432417184,0.5010754965099664,0.4306706332670934,20.0,0.0,0.5961140062215868,14,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
0.2998423728454793,0.44925328601566233,0.3401892477563159,5.3820135492338235,0.44925328601566233,0.022900763358778626,60.59412799252841,268.0,1.2108708088039863,0.88,0.45454545454545453,0.5111111111111111,6,1.0790273073170915,0.48411554820438696,0.0704559695609594,0.08780991735537189,0.5492132743317529,0.5040051933675751,0.43310574908036925,20.0,0.0,0.6104833365818532,15,k2-gpt-static-k20-s5,llm,5,heavy_tail,openai:gpt-5.4-mini,monoculture,True,False,True,False,static
