kappa_top3,kappa_top5,gini,entropy,modularity_proxy,rewiring,max_degree,n_active_edges,mean_pressure,service_rate,displacement_rate,tender_rejection_rate,n_unserved,mean_price,price_std,shipper_surplus,hhi_round,mean_util,revenue_gini,revenue_top3_share,n_active_carriers,n_loss_carriers,kappa_pref_top3,round,name,selector,seed,fitness_regime,llm_specs,llm_mix_mode,shuffle,dynamic_profile,econ_enabled,show_capacity,rating_mode
0.45454545454545453,0.6666666666666666,0.5924242424242424,3.4965075614664802,0.5757575757575758,1.0,5.0,33.0,1.803119838516406,0.66,0.36363636363636365,0.6915887850467289,17,0.5212208230003499,0.13299483205184298,0.345994256819769,0.11111111111111113,0.4634707811093759,0.5760969769409046,0.44220800037944963,20.0,0.0,0.72,1,k2-gemini-k20-s4,llm,4,heavy_tail,google:gemini-3.5-flash,monoculture,True,False,True,False,endogenous
0.39868324798829546,0.6130212143379663,0.5294440380395029,4.109807231578368,0.6130212143379663,0.9090909090909091,9.75,63.0,1.5398133899529651,0.74,0.21621621621621623,0.5842696629213483,13,0.6391660922360182,0.15510440242400253,0.33701709174534655,0.09569028487947406,0.5191377027621692,0.5297024093625735,0.39876948963902004,20.0,0.0,0.48410256410256397,2,k2-gemini-k20-s4,llm,4,heavy_tail,google:gemini-3.5-flash,monoculture,True,False,True,False,endogenous
0.3463166015944638,0.5218712739344914,0.4382589484020292,4.460728329364921,0.5218712739344914,0.4603174603174603,14.262499999999998,92.0,1.3596240243882243,0.84,0.40476190476190477,0.5227272727272727,8,0.6996185455708472,0.18330916643710302,0.3723204217204883,0.07936507936507935,0.5714338174826821,0.45590591252660795,0.38943084280909424,20.0,0.0,0.45267309377738835,3,k2-gemini-k20-s4,llm,4,heavy_tail,google:gemini-3.5-flash,monoculture,True,False,True,False,endogenous
0.3354653305333809,0.477920291605073,0.35161746555281376,4.6735850332713715,0.4779202916050731,0.2717391304347826,18.549374999999998,117.0,1.3410071751640724,0.96,0.375,0.3924050632911392,2,0.7610457235279938,0.2595918236632117,0.4093961054131259,0.07291666666666667,0.6919231112744538,0.3847606353703254,0.3538184927655301,20.0,0.0,0.4329458539708212,4,k2-gemini-k20-s4,llm,4,heavy_tail,google:gemini-3.5-flash,monoculture,True,False,True,False,endogenous
0.3439738923383092,0.4887131072764058,0.35824698189924564,4.802671381913164,0.488713107276406,0.17094017094017094,22.62190625,137.0,1.5290940668438175,0.86,0.4418604651162791,0.5222222222222223,7,0.808884720715782,0.2606437586987041,0.2943591401844274,0.08707409410492159,0.6002918249141012,0.38673134568674894,0.34687070520375934,20.0,0.0,0.4256640065423311,5,k2-gemini-k20-s4,llm,4,heavy_tail,google:gemini-3.5-flash,monoculture,True,False,True,False,endogenous
0.337277868926278,0.47516512057584587,0.3395718729985074,4.91928521574576,0.47516512057584587,0.15328467153284672,27.490810937499997,158.0,1.2511947878661567,0.9,0.28888888888888886,0.4155844155844156,5,0.7946117027030924,0.30394402668119375,0.33484946756721695,0.07555555555555556,0.6615620450834129,0.3856193781070416,0.34502924338125107,20.0,0.0,0.4170451676079423,6,k2-gemini-k20-s4,llm,4,heavy_tail,google:gemini-3.5-flash,monoculture,True,False,True,False,endogenous
0.34715510708742287,0.4813670427402109,0.34479281303701736,4.9790532371094764,0.48136704274021086,0.08227848101265822,31.116270390624997,171.0,1.4686772177972918,0.86,0.3023255813953488,0.4880952380952381,7,0.8417910381811506,0.29917160002318594,0.2660597071642103,0.0914007571660357,0.5565263356807734,0.391979290204863,0.35600804456200535,20.0,0.0,0.3986566510862048,7,k2-gemini-k20-s4,llm,4,heavy_tail,google:gemini-3.5-flash,monoculture,True,False,True,False,endogenous
0.34509777254613067,0.47705253969783007,0.3312796856382658,5.026125556326908,0.47705253969783007,0.07602339181286549,33.56045687109375,184.0,1.6550627825728454,0.84,0.2857142857142857,0.5,8,0.8438962784052002,0.3238936236193856,0.2511271261396316,0.08616780045351471,0.6011643449267675,0.38642793314288715,0.3435671657067779,20.0,0.0,0.38994301298409806,8,k2-gemini-k20-s4,llm,4,heavy_tail,google:gemini-3.5-flash,monoculture,True,False,True,False,endogenous
0.3413026607395841,0.47387907226522136,0.31809001201894826,5.072683140339365,0.47387907226522136,0.059782608695652176,37.679888774335936,195.0,1.2918579662877416,0.88,0.3409090909090909,0.4634146341463415,6,0.8531778562387632,0.3463772220870512,0.26920348650988835,0.07541322314049587,0.5761697750613108,0.38160092743395596,0.3425043810741856,20.0,0.0,0.3974436315238772,9,k2-gemini-k20-s4,llm,4,heavy_tail,google:gemini-3.5-flash,monoculture,True,False,True,False,endogenous
0.3383145667362962,0.4713804320437,0.3213758821548926,5.102879331067966,0.4713804320437,0.046153846153846156,39.795894335619124,204.0,1.528102609065955,0.88,0.4090909090909091,0.47619047619047616,6,0.9184379864202943,0.39087742564905054,0.21177457195014093,0.08264462809917354,0.6159213854910962,0.38918859165627934,0.3480343941645994,20.0,0.0,0.3952700410255681,10,k2-gemini-k20-s4,llm,4,heavy_tail,google:gemini-3.5-flash,monoculture,True,False,True,False,endogenous
