kappa_top3,kappa_top5,gini,entropy,modularity_proxy,rewiring,max_degree,n_active_edges,mean_pressure,service_rate,displacement_rate,tender_rejection_rate,n_unserved,mean_price,price_std,shipper_surplus,hhi_round,mean_util,revenue_gini,revenue_top3_share,n_active_carriers,n_loss_carriers,kappa_pref_top3,round,name,selector,seed,fitness_regime,llm_specs,llm_mix_mode,shuffle,dynamic_profile,econ_enabled,show_capacity,rating_mode
0.4722222222222222,0.6666666666666666,0.6027777777777777,3.5835189384561104,0.5833333333333334,1.0,7.0,36.0,1.5553145490280211,0.72,0.5277777777777778,0.64,14,0.5812435757324796,0.23390947451055297,0.3615046254726145,0.11574074074074076,0.4666648782444917,0.6602285631680455,0.5997646913238049,20.0,0.0,0.82,1,k2-poly3-k20-s1,llm,1,heavy_tail,"openai:gpt-5.4-mini,anthropic:claude-haiku-4-5,google:gemini-3.5-flash",polyculture,True,False,True,False,endogenous
0.40093085106382975,0.5957446808510638,0.5054521276595748,4.199755797691545,0.5957446808510639,0.9166666666666666,10.7,69.0,1.5295374739567609,0.82,0.43902439024390244,0.5543478260869565,9,0.6722656787009281,0.1983630554750447,0.37874214346523877,0.08506841165972633,0.6188498462351253,0.5794798761037313,0.4965973538070509,20.0,0.0,0.7276923076923076,2,k2-poly3-k20-s1,llm,1,heavy_tail,"openai:gpt-5.4-mini,anthropic:claude-haiku-4-5,google:gemini-3.5-flash",polyculture,True,False,True,False,endogenous
0.393806990881459,0.5712386018237082,0.4760131712259371,4.463155645075182,0.5712386018237082,0.36231884057971014,16.165,94.0,0.9772472654262042,0.94,0.2765957446808511,0.3472222222222222,3,0.7437163587694602,0.2357644058071641,0.41090662275670725,0.09099139882299682,0.5588294122727305,0.5619649870275343,0.474236581494551,20.0,0.0,0.6689044697633655,3,k2-poly3-k20-s1,llm,1,heavy_tail,"openai:gpt-5.4-mini,anthropic:claude-haiku-4-5,google:gemini-3.5-flash",polyculture,True,False,True,False,endogenous
0.38195327003825114,0.5561658194096611,0.4464978226740924,4.706940373390391,0.5561658194096613,0.30851063829787234,21.544499999999996,123.0,0.8984476192159164,0.96,0.22916666666666666,0.30434782608695654,2,0.7941163445222612,0.263847970901715,0.3776483092586292,0.08940972222222224,0.5614985344956052,0.5313552818600789,0.4391003651817342,20.0,0.0,0.6018120556622527,4,k2-poly3-k20-s1,llm,1,heavy_tail,"openai:gpt-5.4-mini,anthropic:claude-haiku-4-5,google:gemini-3.5-flash",polyculture,True,False,True,False,endogenous
0.36214394580036,0.5254363455996502,0.4046679887323858,4.880613122387553,0.5254363455996502,0.21951219512195122,25.467274999999997,150.0,1.4473552635464526,0.94,0.5106382978723404,0.4470588235294118,3,0.7822366936129365,0.3202511478248928,0.37469750800383955,0.07469443186962425,0.7029253640215539,0.5147052903210985,0.4397938137171642,20.0,0.0,0.5572066069807887,5,k2-poly3-k20-s1,llm,1,heavy_tail,"openai:gpt-5.4-mini,anthropic:claude-haiku-4-5,google:gemini-3.5-flash",polyculture,True,False,True,False,endogenous
0.3470273229682227,0.5097734908045596,0.39260526742429774,4.960066006666501,0.5097734908045597,0.10666666666666667,29.193911249999992,166.0,1.2653529878763012,0.94,0.3617021276595745,0.38961038961038963,3,0.8146943365364872,0.34985551451828023,0.3441873236557017,0.07378904481665911,0.6479392358239311,0.5136366119231931,0.45527819148550186,20.0,0.0,0.5237598001995857,6,k2-poly3-k20-s1,llm,1,heavy_tail,"openai:gpt-5.4-mini,anthropic:claude-haiku-4-5,google:gemini-3.5-flash",polyculture,True,False,True,False,endogenous
0.3385239904864162,0.49085132651648283,0.374106545381896,5.020792562157817,0.4908513265164827,0.08433734939759036,32.7342156875,180.0,1.150615275372348,0.94,0.2978723404255319,0.3974358974358974,3,0.8848141355543291,0.38988912931632963,0.27827471257893066,0.07469443186962427,0.6279086764952306,0.5081588870764518,0.4428605621573488,20.0,0.0,0.493301974651371,7,k2-poly3-k20-s1,llm,1,heavy_tail,"openai:gpt-5.4-mini,anthropic:claude-haiku-4-5,google:gemini-3.5-flash",polyculture,True,False,True,False,endogenous
0.3311763922444727,0.48901907961948793,0.36719346954449167,5.099292814907319,0.48901907961948793,0.08333333333333333,38.097504903125,195.0,1.0186440688332612,0.96,0.25,0.3142857142857143,2,0.9422132654349263,0.4188970544386314,0.23547526518247053,0.08246527777777779,0.5507134926551955,0.505401927483635,0.4403830939554496,20.0,0.0,0.4824127256496998,8,k2-poly3-k20-s1,llm,1,heavy_tail,"openai:gpt-5.4-mini,anthropic:claude-haiku-4-5,google:gemini-3.5-flash",polyculture,True,False,True,False,endogenous
0.33034242745620795,0.48458062898526333,0.36597829331566256,5.126301858743292,0.48458062898526316,0.046153846153846156,44.192629657968745,204.0,1.01523257101513,0.92,0.2826086956521739,0.39473684210526316,4,0.9388901790618824,0.45717388084957405,0.21622103526306813,0.09546313799621929,0.5678598980808858,0.5092177551923508,0.45655540425941143,20.0,0.0,0.4712683586335011,9,k2-poly3-k20-s1,llm,1,heavy_tail,"openai:gpt-5.4-mini,anthropic:claude-haiku-4-5,google:gemini-3.5-flash",polyculture,True,False,True,False,endogenous
0.3271258896485115,0.47443200975028954,0.3523569595114906,5.184131730989089,0.47443200975028954,0.06862745098039216,49.98299817507031,218.0,1.1209587284037001,0.98,0.3469387755102041,0.35526315789473684,1,0.9089213506801599,0.46883558375122314,0.2792570763334432,0.07788421491045396,0.6755090004355566,0.5024930607448918,0.4551225198991004,20.0,0.0,0.45755444626948344,10,k2-poly3-k20-s1,llm,1,heavy_tail,"openai:gpt-5.4-mini,anthropic:claude-haiku-4-5,google:gemini-3.5-flash",polyculture,True,False,True,False,endogenous
