kappa_top3,kappa_top5,gini,entropy,modularity_proxy,rewiring,max_degree,n_active_edges,mean_pressure,service_rate,displacement_rate,tender_rejection_rate,n_unserved,mean_price,price_std,shipper_surplus,hhi_round,mean_util,revenue_gini,revenue_top3_share,n_active_carriers,n_loss_carriers,kappa_pref_top3,round,name,selector,seed,fitness_regime,llm_specs,llm_mix_mode,shuffle,dynamic_profile,econ_enabled,show_capacity,rating_mode
0.34146341463414637,0.5365853658536586,0.4841463414634146,3.713572066704308,0.5365853658536586,1.0,5.0,41.0,1.4944196250475201,0.82,0.5609756097560976,0.5729166666666666,9,0.5616136352648736,0.19911047892005984,0.4694768190828036,0.0874479476502082,0.526036193962476,0.553398256423281,0.43084665917091225,20.0,0.0,0.82,1,k2-noshuffle-k20-s3,llm,3,heavy_tail,openai:gpt-5.4-mini,monoculture,False,False,True,False,endogenous
0.3587553386211104,0.537522879804759,0.5063758389261748,4.3315748131733764,0.4636973764490543,0.9024390243902439,10.85,78.0,1.1525690776969548,0.86,0.3023255813953488,0.4625,7,0.6315791199358342,0.22449850137492622,0.4468419568551827,0.10654407787993508,0.4910578018448656,0.5589272064982963,0.41372796194620165,20.0,0.0,0.6148717948717949,2,k2-noshuffle-k20-s3,llm,3,heavy_tail,openai:gpt-5.4-mini,monoculture,False,False,True,False,endogenous
0.3623788869467641,0.5589219050085237,0.5033177963358582,4.598565091848192,0.5589219050085238,0.3333333333333333,15.2625,104.0,1.5296410844715291,0.76,0.3157894736842105,0.5632183908045977,12,0.6643634584879631,0.21640985813284044,0.33508377154914804,0.09972299168975067,0.5553723104907737,0.5111833893301589,0.40817966730158906,20.0,0.0,0.5586503067484662,3,k2-noshuffle-k20-s3,llm,3,heavy_tail,openai:gpt-5.4-mini,monoculture,False,False,True,False,endogenous
0.3457511543308962,0.523223646561081,0.45408436965577903,4.802205078371855,0.5232236465610809,0.25,20.499374999999997,130.0,1.5432396326321878,0.8,0.45,0.5698924731182796,10,0.7531246445041095,0.2389265411924233,0.2975002843967122,0.07625000000000001,0.6355717673433551,0.47857309325289743,0.4113261997583196,20.0,0.0,0.5445190201826207,4,k2-noshuffle-k20-s3,llm,3,heavy_tail,openai:gpt-5.4-mini,monoculture,False,False,True,False,endogenous
0.3195203856122151,0.5056246061475556,0.4201411605558549,4.962102348422402,0.5056246061475557,0.18461538461538463,23.474406249999994,154.0,1.4998334221432583,0.86,0.4418604651162791,0.5222222222222223,7,0.8525546823495442,0.3378533214489942,0.2568029731793919,0.07842076798269335,0.6202621736511515,0.45410813949385503,0.4069848279491362,20.0,0.0,0.5346792171857754,5,k2-noshuffle-k20-s3,llm,3,heavy_tail,openai:gpt-5.4-mini,monoculture,False,False,True,False,endogenous
0.30830584168970354,0.48399983925162,0.39348923734828245,5.046417158582264,0.48399983925162,0.12337662337662338,27.3006859375,173.0,1.4270866007922203,0.86,0.3953488372093023,0.5,7,0.8998554835381455,0.3973173856165948,0.2161242841571947,0.07084910762574365,0.6712160641292574,0.45761005063340526,0.40974688840906565,20.0,0.0,0.535683486709041,6,k2-noshuffle-k20-s3,llm,3,heavy_tail,openai:gpt-5.4-mini,monoculture,False,False,True,False,endogenous
0.2901369824292415,0.4540132874974153,0.36049209311196145,5.143121024102938,0.4540132874974155,0.12138728323699421,29.935651640624997,194.0,1.0674588837480663,0.98,0.32653061224489793,0.30985915492957744,1,0.951569345265305,0.44317176484293447,0.23746204164000098,0.07371928363182007,0.6600836483431698,0.4673880020203749,0.4161683430654617,20.0,0.0,0.5165091762604758,7,k2-noshuffle-k20-s3,llm,3,heavy_tail,openai:gpt-5.4-mini,monoculture,False,False,True,False,endogenous
0.2835622834559628,0.44054525714230597,0.34267447890662656,5.213906548359959,0.4405452571423061,0.08247422680412371,33.43886905859374,210.0,1.4837294320304533,0.86,0.3023255813953488,0.47560975609756095,7,0.9887368481796691,0.4527670650079602,0.13968631056548447,0.07193077339102216,0.6332567214527315,0.4707495773315536,0.4249054538526555,20.0,0.0,0.508114552594384,8,k2-noshuffle-k20-s3,llm,3,heavy_tail,openai:gpt-5.4-mini,monoculture,False,False,True,False,endogenous
0.2811898360410103,0.43393733646018373,0.33390059183015397,5.231655475562189,0.4339373364601837,0.0380952380952381,35.766925605664056,218.0,1.3835227079040902,0.86,0.3023255813953488,0.4819277108433735,7,0.940228561930904,0.4636063328882041,0.18140343673942244,0.07409410492157924,0.6226475745833047,0.45795307371115906,0.4091336570790608,20.0,0.0,0.4961991486826884,9,k2-noshuffle-k20-s3,llm,3,heavy_tail,openai:gpt-5.4-mini,monoculture,False,False,True,False,endogenous
0.28591761635945884,0.4356594106694796,0.33104992118188203,5.2498094831755875,0.43565941066947955,0.03669724770642202,39.97857932538084,226.0,1.2661577775390818,0.88,0.36363636363636365,0.47619047619047616,6,1.0116447843768959,0.45225218044849097,0.12975258974833176,0.07954545454545453,0.5846363141268929,0.4679262737806584,0.41628386926655003,20.0,0.0,0.4966727595989408,10,k2-noshuffle-k20-s3,llm,3,heavy_tail,openai:gpt-5.4-mini,monoculture,False,False,True,False,endogenous
